Token,InfluenceScore,RecallScore,Category,Type,OnScreenRender
big858,0.7578,0.4215,Peripheral,Tagged Variant,"Displays as: ""big858"""
add1,0.812,0.9705,High Influence,Tagged Variant,"Displays as: ""add1"""
analysis566,0.6645,0.8982,High Recall,Tagged Variant,"Displays as: ""analysis566"""
ability_8790,0.8288,0.4613,High Influence,Tagged Variant,"Displays as: ""ability_8790"""
block169,0.9222,0.5293,High Influence,Tagged Variant,"Displays as: ""block169"""
agree661,0.9041,0.4469,High Influence,Tagged Variant,"Displays as: ""agree661"""
actually468,0.6616,0.6443,Peripheral,Tagged Variant,"Displays as: ""actually468"""
button_2338,0.6597,0.3137,Peripheral,Tagged Variant,"Displays as: ""button_2338"""
bit489,0.7073,0.77,Peripheral,Tagged Variant,"Displays as: ""bit489"""
behavior363,0.7444,0.6662,Peripheral,Tagged Variant,"Displays as: ""behavior363"""
accident859,0.7634,0.929,High Recall,Tagged Variant,"Displays as: ""accident859"""
campaign_9009,0.8719,0.4151,High Influence,Tagged Variant,"Displays as: ""campaign_9009"""
argue681,0.6227,0.8629,High Recall,Tagged Variant,"Displays as: ""argue681"""
camera_4805,0.6139,0.8544,High Recall,Tagged Variant,"Displays as: ""camera_4805"""
binary_2207,0.7568,0.389,Peripheral,Tagged Variant,"Displays as: ""binary_2207"""
add_7118,0.8789,0.579,High Influence,Tagged Variant,"Displays as: ""add_7118"""
author_1891,0.6774,0.4191,Peripheral,Tagged Variant,"Displays as: ""author_1891"""
aware262,0.8566,0.4783,High Influence,Tagged Variant,"Displays as: ""aware262"""
building674,0.7039,0.4843,Peripheral,Tagged Variant,"Displays as: ""building674"""
call_1586,0.9544,0.6894,High Influence,Tagged Variant,"Displays as: ""call_1586"""
background_3452,0.9583,0.588,High Influence,Tagged Variant,"Displays as: ""background_3452"""
campaign815,0.7189,0.9634,High Recall,Tagged Variant,"Displays as: ""campaign815"""
bad_4480,0.692,0.3885,Peripheral,Tagged Variant,"Displays as: ""bad_4480"""
attempt_2724,0.7645,0.9816,High Recall,Tagged Variant,"Displays as: ""attempt_2724"""
account731,0.6962,0.4614,Peripheral,Tagged Variant,"Displays as: ""account731"""
avoid_1937,0.869,0.841,High Influence,Tagged Variant,"Displays as: ""avoid_1937"""
after968,0.9304,0.5373,High Influence,Tagged Variant,"Displays as: ""after968"""
access_3540,0.8692,0.4002,High Influence,Tagged Variant,"Displays as: ""access_3540"""
another864,0.9297,0.9005,Core Anchor,Tagged Variant,"Displays as: ""another864"""
appear600,0.7588,0.5162,Peripheral,Tagged Variant,"Displays as: ""appear600"""
buy_5565,0.6625,0.7612,Peripheral,Tagged Variant,"Displays as: ""buy_5565"""
believe206,0.8952,0.6965,High Influence,Tagged Variant,"Displays as: ""believe206"""
burn917,0.7442,0.6302,Peripheral,Tagged Variant,"Displays as: ""burn917"""
cancel796,0.8685,0.6471,High Influence,Tagged Variant,"Displays as: ""cancel796"""
carry111,0.7083,0.8126,High Recall,Tagged Variant,"Displays as: ""carry111"""
animal_7675,0.6325,0.3614,Peripheral,Tagged Variant,"Displays as: ""animal_7675"""
allow_5253,0.997,0.7677,High Influence,Tagged Variant,"Displays as: ""allow_5253"""
art976,0.6625,0.9271,High Recall,Tagged Variant,"Displays as: ""art976"""
busy862,0.9954,0.3405,High Influence,Tagged Variant,"Displays as: ""busy862"""
build_2848,0.9909,0.3985,High Influence,Tagged Variant,"Displays as: ""build_2848"""
action_8249,0.9175,0.8016,Core Anchor,Tagged Variant,"Displays as: ""action_8249"""
also_4800,0.8638,0.6061,High Influence,Tagged Variant,"Displays as: ""also_4800"""
case435,0.8311,0.5825,High Influence,Tagged Variant,"Displays as: ""case435"""
buy191,0.9464,0.3959,High Influence,Tagged Variant,"Displays as: ""buy191"""
analysis_9385,0.7158,0.6547,Peripheral,Tagged Variant,"Displays as: ""analysis_9385"""
block964,0.7871,0.3886,Peripheral,Tagged Variant,"Displays as: ""block964"""
campaign_1402,0.8478,0.6336,High Influence,Tagged Variant,"Displays as: ""campaign_1402"""
always287,0.7645,0.8345,High Recall,Tagged Variant,"Displays as: ""always287"""
burn_5912,0.771,0.4808,Peripheral,Tagged Variant,"Displays as: ""burn_5912"""
amazing_1395,0.7321,0.6366,Peripheral,Tagged Variant,"Displays as: ""amazing_1395"""
bit3,0.8257,0.9944,High Influence,Tagged Variant,"Displays as: ""bit3"""
block_8581,0.9402,0.7807,High Influence,Tagged Variant,"Displays as: ""block_8581"""
bill_6732,0.6806,0.8889,High Recall,Tagged Variant,"Displays as: ""bill_6732"""
basis962,0.9738,0.5904,High Influence,Tagged Variant,"Displays as: ""basis962"""
account_9477,0.8756,0.8375,High Influence,Tagged Variant,"Displays as: ""account_9477"""
attack_2391,0.9293,0.3284,High Influence,Tagged Variant,"Displays as: ""attack_2391"""
call800,0.8225,0.386,High Influence,Tagged Variant,"Displays as: ""call800"""
analysis64,0.9118,0.4421,High Influence,Tagged Variant,"Displays as: ""analysis64"""
amazing_3055,0.6065,0.5814,Peripheral,Tagged Variant,"Displays as: ""amazing_3055"""
already_8829,0.9274,0.892,Core Anchor,Tagged Variant,"Displays as: ""already_8829"""
become648,0.6161,0.5424,Peripheral,Tagged Variant,"Displays as: ""become648"""
background196,0.956,0.7582,High Influence,Tagged Variant,"Displays as: ""background196"""
can_1763,0.9968,0.7965,High Influence,Tagged Variant,"Displays as: ""can_1763"""
answer727,0.7176,0.7103,Peripheral,Tagged Variant,"Displays as: ""answer727"""
ahead394,0.6841,0.5501,Peripheral,Tagged Variant,"Displays as: ""ahead394"""
carry328,0.9061,0.7039,High Influence,Tagged Variant,"Displays as: ""carry328"""
career_8697,0.7012,0.5396,Peripheral,Tagged Variant,"Displays as: ""career_8697"""
amazing_2231,0.9462,0.3587,High Influence,Tagged Variant,"Displays as: ""amazing_2231"""
black900,0.6411,0.995,High Recall,Tagged Variant,"Displays as: ""black900"""
body_5182,0.6504,0.389,Peripheral,Tagged Variant,"Displays as: ""body_5182"""
arrive818,0.9917,0.3506,High Influence,Tagged Variant,"Displays as: ""arrive818"""
assume328,0.8695,0.915,High Influence,Tagged Variant,"Displays as: ""assume328"""
animal748,0.9388,0.5113,High Influence,Tagged Variant,"Displays as: ""animal748"""
better163,0.7297,0.7552,Peripheral,Tagged Variant,"Displays as: ""better163"""
account_2234,0.8706,0.5303,High Influence,Tagged Variant,"Displays as: ""account_2234"""
admin_3560,0.8377,0.574,High Influence,Tagged Variant,"Displays as: ""admin_3560"""
author1,0.8413,0.4835,High Influence,Tagged Variant,"Displays as: ""author1"""
begin778,0.873,0.5401,High Influence,Tagged Variant,"Displays as: ""begin778"""
case_8639,0.8301,0.5875,High Influence,Tagged Variant,"Displays as: ""case_8639"""
although592,0.7716,0.8043,High Recall,Tagged Variant,"Displays as: ""although592"""
anger_1316,0.7104,0.6581,Peripheral,Tagged Variant,"Displays as: ""anger_1316"""
bring_6387,0.9074,0.9605,Core Anchor,Tagged Variant,"Displays as: ""bring_6387"""
call845,0.6905,0.3293,Peripheral,Tagged Variant,"Displays as: ""call845"""
better960,0.8769,0.6521,High Influence,Tagged Variant,"Displays as: ""better960"""
black_6427,0.6933,0.709,Peripheral,Tagged Variant,"Displays as: ""black_6427"""
candidate_7762,0.8501,0.9441,High Influence,Tagged Variant,"Displays as: ""candidate_7762"""
attempt332,0.8988,0.3344,High Influence,Tagged Variant,"Displays as: ""attempt332"""
anything_6319,0.6875,0.7014,Peripheral,Tagged Variant,"Displays as: ""anything_6319"""
care47,0.624,0.8975,High Recall,Tagged Variant,"Displays as: ""care47"""
amazing580,0.6524,0.4693,Peripheral,Tagged Variant,"Displays as: ""amazing580"""
accept_9817,0.8424,0.9134,High Influence,Tagged Variant,"Displays as: ""accept_9817"""
basic599,0.9398,0.3133,High Influence,Tagged Variant,"Displays as: ""basic599"""
both958,0.618,0.8127,High Recall,Tagged Variant,"Displays as: ""both958"""
author704,0.8937,0.9532,High Influence,Tagged Variant,"Displays as: ""author704"""
aspect_8990,0.7365,0.76,Peripheral,Tagged Variant,"Displays as: ""aspect_8990"""
activity_4025,0.7914,0.6073,Peripheral,Tagged Variant,"Displays as: ""activity_4025"""
approach_5915,0.9715,0.3314,High Influence,Tagged Variant,"Displays as: ""approach_5915"""
admit_9901,0.7328,0.9441,High Recall,Tagged Variant,"Displays as: ""admit_9901"""
believe857,0.7861,0.6292,Peripheral,Tagged Variant,"Displays as: ""believe857"""
box_1105,0.6055,0.3203,Peripheral,Tagged Variant,"Displays as: ""box_1105"""
author_3988,0.6326,0.7829,Peripheral,Tagged Variant,"Displays as: ""author_3988"""
agent_5048,0.7034,0.6373,Peripheral,Tagged Variant,"Displays as: ""agent_5048"""
building750,0.6111,0.387,Peripheral,Tagged Variant,"Displays as: ""building750"""
admin685,0.8526,0.45,High Influence,Tagged Variant,"Displays as: ""admin685"""
business438,0.7706,0.3451,Peripheral,Tagged Variant,"Displays as: ""business438"""
believe862,0.8193,0.702,High Influence,Tagged Variant,"Displays as: ""believe862"""
after650,0.6699,0.7354,Peripheral,Tagged Variant,"Displays as: ""after650"""
because_8642,0.7184,0.654,Peripheral,Tagged Variant,"Displays as: ""because_8642"""
business_8587,0.8655,0.872,High Influence,Tagged Variant,"Displays as: ""business_8587"""
between145,0.9861,0.9027,Core Anchor,Tagged Variant,"Displays as: ""between145"""
already_8243,0.6202,0.7309,Peripheral,Tagged Variant,"Displays as: ""already_8243"""
appear_3878,0.9562,0.3089,High Influence,Tagged Variant,"Displays as: ""appear_3878"""
background_9715,0.8308,0.7867,High Influence,Tagged Variant,"Displays as: ""background_9715"""
anything346,0.8256,0.5926,High Influence,Tagged Variant,"Displays as: ""anything346"""
animal314,0.8001,0.6959,High Influence,Tagged Variant,"Displays as: ""animal314"""
bit_7536,0.6278,0.7544,Peripheral,Tagged Variant,"Displays as: ""bit_7536"""
burn_5032,0.636,0.5452,Peripheral,Tagged Variant,"Displays as: ""burn_5032"""
appear882,0.8404,0.942,High Influence,Tagged Variant,"Displays as: ""appear882"""
camera280,0.7364,0.3938,Peripheral,Tagged Variant,"Displays as: ""camera280"""
book_1973,0.9669,0.7701,High Influence,Tagged Variant,"Displays as: ""book_1973"""
anger_1927,0.7626,0.3031,Peripheral,Tagged Variant,"Displays as: ""anger_1927"""
area_4844,0.6573,0.9473,High Recall,Tagged Variant,"Displays as: ""area_4844"""
already_8007,0.8859,0.3788,High Influence,Tagged Variant,"Displays as: ""already_8007"""
arrive_8583,0.7173,0.3664,Peripheral,Tagged Variant,"Displays as: ""arrive_8583"""
behavior746,0.8102,0.5331,High Influence,Tagged Variant,"Displays as: ""behavior746"""
accept_5777,0.8791,0.5615,High Influence,Tagged Variant,"Displays as: ""accept_5777"""
admit_7913,0.9601,0.45,High Influence,Tagged Variant,"Displays as: ""admit_7913"""
around_8318,0.9169,0.7096,High Influence,Tagged Variant,"Displays as: ""around_8318"""
between406,0.8705,0.61,High Influence,Tagged Variant,"Displays as: ""between406"""
another915,0.8719,0.3239,High Influence,Tagged Variant,"Displays as: ""another915"""
border592,0.9784,0.5238,High Influence,Tagged Variant,"Displays as: ""border592"""
awesome313,0.7183,0.8673,High Recall,Tagged Variant,"Displays as: ""awesome313"""
brain_1891,0.6004,0.7828,Peripheral,Tagged Variant,"Displays as: ""brain_1891"""
burn_6610,0.7088,0.8074,High Recall,Tagged Variant,"Displays as: ""burn_6610"""
behind_5024,0.6872,0.7887,Peripheral,Tagged Variant,"Displays as: ""behind_5024"""
capacity126,0.8647,0.5177,High Influence,Tagged Variant,"Displays as: ""capacity126"""
binary_4834,0.8535,0.3698,High Influence,Tagged Variant,"Displays as: ""binary_4834"""
business_7660,0.8374,0.4907,High Influence,Tagged Variant,"Displays as: ""business_7660"""
capital_1169,0.6065,0.8822,High Recall,Tagged Variant,"Displays as: ""capital_1169"""
authority_6096,0.8915,0.9863,High Influence,Tagged Variant,"Displays as: ""authority_6096"""
bad_1181,0.7294,0.6457,Peripheral,Tagged Variant,"Displays as: ""bad_1181"""
behind_9843,0.866,0.3068,High Influence,Tagged Variant,"Displays as: ""behind_9843"""
assume59,0.8226,0.398,High Influence,Tagged Variant,"Displays as: ""assume59"""
book_6952,0.7371,0.5255,Peripheral,Tagged Variant,"Displays as: ""book_6952"""
allow_6792,0.6538,0.705,Peripheral,Tagged Variant,"Displays as: ""allow_6792"""
almost_7977,0.6378,0.3526,Peripheral,Tagged Variant,"Displays as: ""almost_7977"""
activity_2176,0.9326,0.9604,Core Anchor,Tagged Variant,"Displays as: ""activity_2176"""
can_2003,0.9674,0.5556,High Influence,Tagged Variant,"Displays as: ""can_2003"""
again_7492,0.8599,0.9388,High Influence,Tagged Variant,"Displays as: ""again_7492"""
both498,0.6414,0.8464,High Recall,Tagged Variant,"Displays as: ""both498"""
aware184,0.7608,0.8288,High Recall,Tagged Variant,"Displays as: ""aware184"""
build108,0.8916,0.7247,High Influence,Tagged Variant,"Displays as: ""build108"""
analysis141,0.9119,0.7387,High Influence,Tagged Variant,"Displays as: ""analysis141"""
between_4124,0.6473,0.7466,Peripheral,Tagged Variant,"Displays as: ""between_4124"""
basis_4624,0.6,0.7401,Peripheral,Tagged Variant,"Displays as: ""basis_4624"""
believe_3335,0.8849,0.6876,High Influence,Tagged Variant,"Displays as: ""believe_3335"""
article526,0.7426,0.9905,High Recall,Tagged Variant,"Displays as: ""article526"""
around874,0.7018,0.8126,High Recall,Tagged Variant,"Displays as: ""around874"""
can_7739,0.6052,0.8439,High Recall,Tagged Variant,"Displays as: ""can_7739"""
active240,0.8161,0.9107,High Influence,Tagged Variant,"Displays as: ""active240"""
body_4954,0.9405,0.4509,High Influence,Tagged Variant,"Displays as: ""body_4954"""
although_5587,0.9831,0.3587,High Influence,Tagged Variant,"Displays as: ""although_5587"""
beauty_8375,0.8263,0.638,High Influence,Tagged Variant,"Displays as: ""beauty_8375"""
author_3974,0.8058,0.6599,High Influence,Tagged Variant,"Displays as: ""author_3974"""
after_3080,0.634,0.8804,High Recall,Tagged Variant,"Displays as: ""after_3080"""
binary_3891,0.8195,0.6106,High Influence,Tagged Variant,"Displays as: ""binary_3891"""
break_5221,0.752,0.6996,Peripheral,Tagged Variant,"Displays as: ""break_5221"""
bill716,0.8429,0.6689,High Influence,Tagged Variant,"Displays as: ""bill716"""
book_9341,0.7555,0.3267,Peripheral,Tagged Variant,"Displays as: ""book_9341"""
add377,0.6961,0.7307,Peripheral,Tagged Variant,"Displays as: ""add377"""
active928,0.638,0.8796,High Recall,Tagged Variant,"Displays as: ""active928"""
beyond_4393,0.726,0.4103,Peripheral,Tagged Variant,"Displays as: ""beyond_4393"""
agency801,0.6387,0.716,Peripheral,Tagged Variant,"Displays as: ""agency801"""
business_9426,0.6708,0.7155,Peripheral,Tagged Variant,"Displays as: ""business_9426"""
box94,0.9949,0.4149,High Influence,Tagged Variant,"Displays as: ""box94"""
book766,0.7776,0.3864,Peripheral,Tagged Variant,"Displays as: ""book766"""
better132,0.8127,0.986,High Influence,Tagged Variant,"Displays as: ""better132"""
career741,0.9494,0.5756,High Influence,Tagged Variant,"Displays as: ""career741"""
busy_5061,0.9982,0.4592,High Influence,Tagged Variant,"Displays as: ""busy_5061"""
attempt16,0.8331,0.4199,High Influence,Tagged Variant,"Displays as: ""attempt16"""
brain_2598,0.925,0.7673,High Influence,Tagged Variant,"Displays as: ""brain_2598"""
burn447,0.7308,0.7266,Peripheral,Tagged Variant,"Displays as: ""burn447"""
author765,0.7223,0.7505,Peripheral,Tagged Variant,"Displays as: ""author765"""
and_5556,0.7611,0.3616,Peripheral,Tagged Variant,"Displays as: ""and_5556"""
bit_2920,0.869,0.9255,High Influence,Tagged Variant,"Displays as: ""bit_2920"""
break_8989,0.8729,0.5725,High Influence,Tagged Variant,"Displays as: ""break_8989"""
bit843,0.7261,0.5194,Peripheral,Tagged Variant,"Displays as: ""bit843"""
basic_2734,0.6533,0.6237,Peripheral,Tagged Variant,"Displays as: ""basic_2734"""
awesome167,0.853,0.573,High Influence,Tagged Variant,"Displays as: ""awesome167"""
ability84,0.6513,0.9045,High Recall,Tagged Variant,"Displays as: ""ability84"""
authority312,0.8314,0.9505,High Influence,Tagged Variant,"Displays as: ""authority312"""
amazing820,0.8774,0.5124,High Influence,Tagged Variant,"Displays as: ""amazing820"""
add_7169,0.8802,0.9048,High Influence,Tagged Variant,"Displays as: ""add_7169"""
bad841,0.9014,0.8471,Core Anchor,Tagged Variant,"Displays as: ""bad841"""
appear_7643,0.9491,0.9516,Core Anchor,Tagged Variant,"Displays as: ""appear_7643"""
analysis_5770,0.8,0.472,Peripheral,Tagged Variant,"Displays as: ""analysis_5770"""
art583,0.8921,0.7039,High Influence,Tagged Variant,"Displays as: ""art583"""
allow82,0.8477,0.4922,High Influence,Tagged Variant,"Displays as: ""allow82"""
boy_3525,0.6747,0.8769,High Recall,Tagged Variant,"Displays as: ""boy_3525"""
anything916,0.6103,0.3037,Peripheral,Tagged Variant,"Displays as: ""anything916"""
border350,0.7138,0.6954,Peripheral,Tagged Variant,"Displays as: ""border350"""
agency_6454,0.7772,0.5374,Peripheral,Tagged Variant,"Displays as: ""agency_6454"""
art903,0.8468,0.5259,High Influence,Tagged Variant,"Displays as: ""art903"""
ability_4402,0.94,0.7514,High Influence,Tagged Variant,"Displays as: ""ability_4402"""
access592,0.6785,0.896,High Recall,Tagged Variant,"Displays as: ""access592"""
account741,0.6502,0.7264,Peripheral,Tagged Variant,"Displays as: ""account741"""
call310,0.9854,0.8972,Core Anchor,Tagged Variant,"Displays as: ""call310"""
approach288,0.6432,0.4852,Peripheral,Tagged Variant,"Displays as: ""approach288"""
assume62,0.7914,0.6637,Peripheral,Tagged Variant,"Displays as: ""assume62"""
bill_2481,0.8342,0.6154,High Influence,Tagged Variant,"Displays as: ""bill_2481"""
article_1694,0.8165,0.3082,High Influence,Tagged Variant,"Displays as: ""article_1694"""
blue465,0.6344,0.6898,Peripheral,Tagged Variant,"Displays as: ""blue465"""
beyond325,0.6228,0.7631,Peripheral,Tagged Variant,"Displays as: ""beyond325"""
against_7615,0.6422,0.7143,Peripheral,Tagged Variant,"Displays as: ""against_7615"""
carry846,0.8342,0.8154,High Influence,Tagged Variant,"Displays as: ""carry846"""
candidate_6409,0.8177,0.6999,High Influence,Tagged Variant,"Displays as: ""candidate_6409"""
buy_9691,0.6935,0.3467,Peripheral,Tagged Variant,"Displays as: ""buy_9691"""
because199,0.8551,0.3815,High Influence,Tagged Variant,"Displays as: ""because199"""
awesome792,0.928,0.7175,High Influence,Tagged Variant,"Displays as: ""awesome792"""
both_3378,0.6166,0.4925,Peripheral,Tagged Variant,"Displays as: ""both_3378"""
agree_6861,0.7993,0.3558,Peripheral,Tagged Variant,"Displays as: ""agree_6861"""
already_5214,0.8757,0.6007,High Influence,Tagged Variant,"Displays as: ""already_5214"""
box531,0.7009,0.688,Peripheral,Tagged Variant,"Displays as: ""box531"""
away998,0.7231,0.5301,Peripheral,Tagged Variant,"Displays as: ""away998"""
agency862,0.8455,0.8043,High Influence,Tagged Variant,"Displays as: ""agency862"""
attack947,0.9592,0.7506,High Influence,Tagged Variant,"Displays as: ""attack947"""
believe479,0.924,0.533,High Influence,Tagged Variant,"Displays as: ""believe479"""
button821,0.8333,0.8284,High Influence,Tagged Variant,"Displays as: ""button821"""
although412,0.8921,0.7541,High Influence,Tagged Variant,"Displays as: ""although412"""
above_8661,0.7459,0.7462,Peripheral,Tagged Variant,"Displays as: ""above_8661"""
border115,0.8564,0.6874,High Influence,Tagged Variant,"Displays as: ""border115"""
case_4032,0.7865,0.308,Peripheral,Tagged Variant,"Displays as: ""case_4032"""
behind_9647,0.676,0.7876,Peripheral,Tagged Variant,"Displays as: ""behind_9647"""
capacity459,0.8807,0.5632,High Influence,Tagged Variant,"Displays as: ""capacity459"""
bring705,0.8226,0.9598,High Influence,Tagged Variant,"Displays as: ""bring705"""
agent_3718,0.7434,0.8726,High Recall,Tagged Variant,"Displays as: ""agent_3718"""
carry694,0.9645,0.7114,High Influence,Tagged Variant,"Displays as: ""carry694"""
also471,0.6084,0.4765,Peripheral,Tagged Variant,"Displays as: ""also471"""
about738,0.7263,0.4426,Peripheral,Tagged Variant,"Displays as: ""about738"""
before561,0.6228,0.5383,Peripheral,Tagged Variant,"Displays as: ""before561"""
brain777,0.9066,0.6336,High Influence,Tagged Variant,"Displays as: ""brain777"""
agree607,0.8808,0.5072,High Influence,Tagged Variant,"Displays as: ""agree607"""
accept576,0.7325,0.6605,Peripheral,Tagged Variant,"Displays as: ""accept576"""
button468,0.8703,0.4158,High Influence,Tagged Variant,"Displays as: ""button468"""
approach726,0.7584,0.9844,High Recall,Tagged Variant,"Displays as: ""approach726"""
again977,0.9025,0.3755,High Influence,Tagged Variant,"Displays as: ""again977"""
cancel_1112,0.7817,0.9524,High Recall,Tagged Variant,"Displays as: ""cancel_1112"""
although_2221,0.7649,0.9395,High Recall,Tagged Variant,"Displays as: ""although_2221"""
assume_5091,0.9739,0.6678,High Influence,Tagged Variant,"Displays as: ""assume_5091"""
almost538,0.7004,0.8074,High Recall,Tagged Variant,"Displays as: ""almost538"""
before_6016,0.6482,0.6052,Peripheral,Tagged Variant,"Displays as: ""before_6016"""
always_9711,0.8338,0.741,High Influence,Tagged Variant,"Displays as: ""always_9711"""
avoid205,0.9877,0.5384,High Influence,Tagged Variant,"Displays as: ""avoid205"""
arrive_9056,0.7511,0.5108,Peripheral,Tagged Variant,"Displays as: ""arrive_9056"""
admit_1183,0.6248,0.7048,Peripheral,Tagged Variant,"Displays as: ""admit_1183"""
can665,0.7357,0.6487,Peripheral,Tagged Variant,"Displays as: ""can665"""
bring774,0.8024,0.7057,High Influence,Tagged Variant,"Displays as: ""bring774"""
beat_5306,0.6648,0.5007,Peripheral,Tagged Variant,"Displays as: ""beat_5306"""
brain_5668,0.8632,0.5569,High Influence,Tagged Variant,"Displays as: ""brain_5668"""
adult_7000,0.9991,0.3587,High Influence,Tagged Variant,"Displays as: ""adult_7000"""
arrive103,0.7807,0.3366,Peripheral,Tagged Variant,"Displays as: ""arrive103"""
cancel_4448,0.7419,0.4774,Peripheral,Tagged Variant,"Displays as: ""cancel_4448"""
art627,0.7603,0.352,Peripheral,Tagged Variant,"Displays as: ""art627"""
argue693,0.6461,0.3726,Peripheral,Tagged Variant,"Displays as: ""argue693"""
accident_6215,0.9533,0.869,Core Anchor,Tagged Variant,"Displays as: ""accident_6215"""
binary769,0.7659,0.3272,Peripheral,Tagged Variant,"Displays as: ""binary769"""
border751,0.7549,0.7613,Peripheral,Tagged Variant,"Displays as: ""border751"""
buy955,0.8639,0.4908,High Influence,Tagged Variant,"Displays as: ""buy955"""
address837,0.7768,0.9101,High Recall,Tagged Variant,"Displays as: ""address837"""
area_5763,0.8593,0.6395,High Influence,Tagged Variant,"Displays as: ""area_5763"""
assume_1438,0.6246,0.5139,Peripheral,Tagged Variant,"Displays as: ""assume_1438"""
car_8232,0.9255,0.6623,High Influence,Tagged Variant,"Displays as: ""car_8232"""
camera766,0.9762,0.5674,High Influence,Tagged Variant,"Displays as: ""camera766"""
case659,0.8595,0.695,High Influence,Tagged Variant,"Displays as: ""case659"""
actually_6972,0.9818,0.3802,High Influence,Tagged Variant,"Displays as: ""actually_6972"""
camera_5960,0.6606,0.9979,High Recall,Tagged Variant,"Displays as: ""camera_5960"""
arrive_7365,0.791,0.5979,Peripheral,Tagged Variant,"Displays as: ""arrive_7365"""
burn507,0.8407,0.5438,High Influence,Tagged Variant,"Displays as: ""burn507"""
budget450,0.8327,0.7971,High Influence,Tagged Variant,"Displays as: ""budget450"""
analysis_7465,0.7606,0.5547,Peripheral,Tagged Variant,"Displays as: ""analysis_7465"""
body_6599,0.7352,0.8833,High Recall,Tagged Variant,"Displays as: ""body_6599"""
agree_9707,0.6507,0.618,Peripheral,Tagged Variant,"Displays as: ""agree_9707"""
agree711,0.7567,0.8037,High Recall,Tagged Variant,"Displays as: ""agree711"""
burn841,0.6651,0.3752,Peripheral,Tagged Variant,"Displays as: ""burn841"""
area_5771,0.8937,0.8923,High Influence,Tagged Variant,"Displays as: ""area_5771"""
another599,0.6835,0.815,High Recall,Tagged Variant,"Displays as: ""another599"""
argue_7334,0.6234,0.4482,Peripheral,Tagged Variant,"Displays as: ""argue_7334"""
attitude125,0.8209,0.4017,High Influence,Tagged Variant,"Displays as: ""attitude125"""
available_4576,0.8381,0.5214,High Influence,Tagged Variant,"Displays as: ""available_4576"""
campaign770,0.9488,0.9832,Core Anchor,Tagged Variant,"Displays as: ""campaign770"""
around584,0.8308,0.4798,High Influence,Tagged Variant,"Displays as: ""around584"""
career387,0.7382,0.6193,Peripheral,Tagged Variant,"Displays as: ""career387"""
capital_3809,0.9212,0.321,High Influence,Tagged Variant,"Displays as: ""capital_3809"""
black_7196,0.8161,0.5781,High Influence,Tagged Variant,"Displays as: ""black_7196"""
background_5205,0.6317,0.6999,Peripheral,Tagged Variant,"Displays as: ""background_5205"""
both194,0.8263,0.9672,High Influence,Tagged Variant,"Displays as: ""both194"""
anger416,0.9632,0.6617,High Influence,Tagged Variant,"Displays as: ""anger416"""
account971,0.7585,0.8734,High Recall,Tagged Variant,"Displays as: ""account971"""
analysis126,0.7185,0.683,Peripheral,Tagged Variant,"Displays as: ""analysis126"""
answer49,0.6574,0.3285,Peripheral,Tagged Variant,"Displays as: ""answer49"""
button970,0.6606,0.5205,Peripheral,Tagged Variant,"Displays as: ""button970"""
brain_6444,0.7731,0.7029,Peripheral,Tagged Variant,"Displays as: ""brain_6444"""
awesome740,0.8383,0.9654,High Influence,Tagged Variant,"Displays as: ""awesome740"""
border38,0.6322,0.9014,High Recall,Tagged Variant,"Displays as: ""border38"""
accident_7290,0.9758,0.4598,High Influence,Tagged Variant,"Displays as: ""accident_7290"""
call679,0.9021,0.4541,High Influence,Tagged Variant,"Displays as: ""call679"""
address500,0.8346,0.4408,High Influence,Tagged Variant,"Displays as: ""address500"""
anger91,0.9314,0.9457,Core Anchor,Tagged Variant,"Displays as: ""anger91"""
beyond137,0.6321,0.8969,High Recall,Tagged Variant,"Displays as: ""beyond137"""
article_1316,0.7907,0.8424,High Recall,Tagged Variant,"Displays as: ""article_1316"""
attack_7761,0.852,0.5749,High Influence,Tagged Variant,"Displays as: ""attack_7761"""
blue494,0.9315,0.6531,High Influence,Tagged Variant,"Displays as: ""blue494"""
address671,0.9134,0.625,High Influence,Tagged Variant,"Displays as: ""address671"""
also_4590,0.7108,0.4774,Peripheral,Tagged Variant,"Displays as: ""also_4590"""
career_5067,0.9764,0.6535,High Influence,Tagged Variant,"Displays as: ""career_5067"""
base_9840,0.6497,0.3213,Peripheral,Tagged Variant,"Displays as: ""base_9840"""
border199,0.9501,0.3923,High Influence,Tagged Variant,"Displays as: ""border199"""
about_2798,0.9884,0.9206,Core Anchor,Tagged Variant,"Displays as: ""about_2798"""
boy10,0.6709,0.8262,High Recall,Tagged Variant,"Displays as: ""boy10"""
approach243,0.8888,0.596,High Influence,Tagged Variant,"Displays as: ""approach243"""
also_6154,0.6161,0.662,Peripheral,Tagged Variant,"Displays as: ""also_6154"""
activity148,0.7622,0.559,Peripheral,Tagged Variant,"Displays as: ""activity148"""
cancel_4271,0.8065,0.8185,High Influence,Tagged Variant,"Displays as: ""cancel_4271"""
because_8804,0.8323,0.8489,High Influence,Tagged Variant,"Displays as: ""because_8804"""
build736,0.9744,0.8343,Core Anchor,Tagged Variant,"Displays as: ""build736"""
because_6436,0.8689,0.8058,High Influence,Tagged Variant,"Displays as: ""because_6436"""
cancel43,0.7925,0.4432,Peripheral,Tagged Variant,"Displays as: ""cancel43"""
anger265,0.9239,0.5366,High Influence,Tagged Variant,"Displays as: ""anger265"""
